Grid	Lat/Lon hddd.ddddd°
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories

Waypoint	1KM	25-JUN-05 12:31:32PM	User Waypoint	N44.97836 W93.13802	922 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	1MILE	25-JUN-05 12:43:56PM	User Waypoint	N44.97580 W93.13936	910 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	2KM	25-JUN-05 12:48:53PM	User Waypoint	N44.97807 W93.14290	915 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	2MILE	25-JUN-05 12:26:20PM	User Waypoint	N44.98167 W93.13930	923 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	3KM	25-JUN-05 12:22:55PM	User Waypoint	N44.98343 W93.14021	928 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	3MILE	25-JUN-05 12:51:50PM	User Waypoint	N44.97991 W93.14370	916 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	4KM	25-JUN-05 12:39:44PM	User Waypoint	N44.97619 W93.13671	915 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	FINISH	25-JUN-05 12:54:23PM	User Waypoint	N44.98129 W93.14360	932 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	START	25-JUN-05 12:15:49PM	User Waypoint	N44.98308 W93.14320	941 ft				Symbol & Name	Unknown	Flag, Blue							


Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	COMO LAKE 5km		0:00:00	1.9 mi	0 mph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N44.97591 W93.13750		918 ft		19 ft			81° true
Trackpoint	N44.97602 W93.13710		921 ft		111 ft			69° true
Trackpoint	N44.97619 W93.13672		923 ft		116 ft			58° true
Trackpoint	N44.97619 W93.13672		921 ft		0 ft			278° true
Trackpoint	N44.97617 W93.13680		921 ft		20 ft			250° true
Trackpoint	N44.97619 W93.13671		923 ft		23 ft			74° true
Trackpoint	N44.97619 W93.13671		921 ft		0 ft			0° true
Trackpoint	N44.97619 W93.13671		902 ft		1 ft			43° true
Trackpoint	N44.97619 W93.13671		910 ft		0 ft			310° true
Trackpoint	N44.97619 W93.13671		936 ft		0 ft			100° true
Trackpoint	N44.97619 W93.13671		920 ft		0 ft			103° true
Trackpoint	N44.97619 W93.13671		918 ft		0 ft			109° true
Trackpoint	N44.97619 W93.13670		921 ft		1 ft			110° true
Trackpoint	N44.97618 W93.13672		920 ft		5 ft			238° true
Trackpoint	N44.97600 W93.13719		918 ft		139 ft			242° true
Trackpoint	N44.97591 W93.13773		920 ft		142 ft			256° true
Trackpoint	N44.97589 W93.13818		920 ft		117 ft			266° true
Trackpoint	N44.97584 W93.13869		920 ft		133 ft			262° true
Trackpoint	N44.97577 W93.13917		920 ft		127 ft			259° true
Trackpoint	N44.97576 W93.13934		915 ft		44 ft			267° true
Trackpoint	N44.97578 W93.13938		915 ft		13 ft			306° true
Trackpoint	N44.97580 W93.13939		915 ft		6 ft			345° true
Trackpoint	N44.97580 W93.13939		918 ft		1 ft			301° true
Trackpoint	N44.97583 W93.13956		917 ft		43 ft			283° true
Trackpoint	N44.97582 W93.13944		917 ft		31 ft			98° true
Trackpoint	N44.97580 W93.13936		917 ft		20 ft			102° true
Trackpoint	N44.97580 W93.13936		906 ft		2 ft			170° true
Trackpoint	N44.97580 W93.13936		918 ft		0 ft			149° true
Trackpoint	N44.97579 W93.13936		920 ft		3 ft			164° true
Trackpoint	N44.97577 W93.13934		918 ft		8 ft			156° true
Trackpoint	N44.97577 W93.13934		912 ft		0 ft			140° true
Trackpoint	N44.97577 W93.13934		923 ft		1 ft			139° true
Trackpoint	N44.97575 W93.13933		917 ft		9 ft			158° true
Trackpoint	N44.97586 W93.13970		920 ft		106 ft			294° true
Trackpoint	N44.97617 W93.14012		917 ft		155 ft			317° true
Trackpoint	N44.97641 W93.14041		917 ft		115 ft			319° true
Trackpoint	N44.97673 W93.14081		917 ft		156 ft			318° true
Trackpoint	N44.97702 W93.14114		918 ft		136 ft			321° true
Trackpoint	N44.97722 W93.14155		918 ft		128 ft			305° true
Trackpoint	N44.97735 W93.14202		915 ft		130 ft			292° true
Trackpoint	N44.97748 W93.14242		915 ft		113 ft			295° true
